timestamp,ps_1_voltage,ps_1_current,ps_1_output_state,ps_1_oper_cond,ps_1_oper_flags,ps_1_ques_cond,ps_1_fault_flags,ps_1_status_byte,ps_1_errors,ps_2_voltage,ps_2_current,ps_2_output_state,ps_2_oper_cond,ps_2_oper_flags,ps_2_ques_cond,ps_2_fault_flags,ps_2_status_byte,ps_2_errors
1778278340.213753,449.982,0.20081,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,450.00,0.0000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,
1778278341.177618,450.003,0.00000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,450.00,0.0000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,
1778278341.800728,450.003,0.00000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,450.00,0.0000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,
1778278342.743248,450.003,0.00000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,450.00,0.0000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,
1778278343.5195024,418.526,0.00000,OFF,4,NO_FAULT,0,NONE,0,,310.22,0.0000,OFF,4,NO_FAULT,0,NONE,0,
1778278344.4603379,152.110,0.00000,OFF,4,NO_FAULT,0,NONE,0,,007.19,0.0000,OFF,4,NO_FAULT,0,NONE,0,
1778278345.08959,000.030,0.00000,OFF,4,NO_FAULT,0,NONE,0,,000.02,0.0000,OFF,4,NO_FAULT,0,NONE,0,
1778278346.0249472,000.019,0.00000,OFF,4,NO_FAULT,0,NONE,0,,000.01,0.0000,OFF,4,NO_FAULT,0,NONE,0,
1778278346.6587307,000.019,0.00000,OFF,4,NO_FAULT,0,NONE,0,,000.01,0.0000,OFF,4,NO_FAULT,0,NONE,0,
1778278347.5978227,000.019,0.00000,OFF,4,NO_FAULT,0,NONE,0,,000.01,0.0000,OFF,4,NO_FAULT,0,NONE,0,
1778278348.2253351,000.019,0.00000,OFF,4,NO_FAULT,0,NONE,0,,000.01,0.0000,OFF,4,NO_FAULT,0,NONE,0,
1778278349.663786,449.949,0.00000,ON,4,NO_FAULT,0,NONE,0,,449.99,0.0000,ON,4,NO_FAULT,0,NONE,0,
1778278350.2970357,450.003,0.00000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,450.00,0.0000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,
1778278351.2359242,450.003,0.00000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,450.00,0.0000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,
1778278351.926261,450.003,0.00000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,450.00,0.0000,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,
