ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,V,I
1775248178.349607,1.235,164.55,1.31248,1.3125,ON,ON,1.83180702,1.31224573
1775248179.278998,7.511,164.33,1.31252,1.3125,ON,ON,1.85709655,1.312217
1775248179.9047585,5.991,166.0,1.31246,1.3125,ON,ON,1.97774565,1.31237876
1775248180.8273764,4.515,167.27,1.31246,1.3125,ON,ON,1.86628985,1.31164086
1775248181.4481273,1.301,166.63,1.31248,1.3125,ON,ON,1.882864,1.31200981
1775248182.3773975,1.355,167.57,1.31248,1.3125,ON,ON,1.70762193,1.31163251
1775248183.0004091,0.769,168.1,1.31246,1.3125,ON,ON,1.7208147,1.31189001
1775248183.930659,0.747,168.15,1.31246,1.3125,ON,ON,1.73026431,1.31169116
1775248184.612086,0.747,169.11,1.31246,1.3125,OFF,ON,1.73334384,1.31170797
1775248185.4839027,0.0,169.16,0.01158,1.3125,OFF,ON,1.73606408,1.31216908
1775248186.101658,0.0,169.13,0.01149,1.3125,OFF,ON,1.73921072,1.31163609
1775248187.028571,0.0,169.11,0.01139,1.3125,OFF,ON,1.73765361,1.31205416
1775248187.6565068,0.0,172.43,0.01135,1.3125,OFF,ON,1.73598862,1.31205177
1775248188.58841,0.0,169.12,0.01126,1.3125,OFF,ON,1.87735522,1.31209242
1775248189.2087762,0.0,169.1,0.01122,1.3125,OFF,ON,1.73583531,1.3123368
1775248190.1377704,0.0,169.12,0.01114,1.3125,OFF,ON,1.7344662,1.31215477
1775248190.7625248,0.0,169.07,0.0111,1.3125,OFF,ON,1.73426259,1.3122015
1775248191.6901994,0.0,169.04,0.01105,1.3125,OFF,ON,1.73315227,1.31165886
1775248192.311125,0.0,168.99,0.01101,1.3125,OFF,ON,1.73041165,1.3122853
1775248193.2404058,0.0,168.93,0.01097,1.3125,OFF,ON,1.72629952,1.31165767
1775248193.862785,0.0,168.92,0.01095,1.3125,OFF,ON,1.72400928,1.31159294
1775248194.7930186,0.0,168.84,0.01091,1.3125,OFF,ON,1.72048283,1.31213081
1775248195.413882,0.0,168.78,0.01089,1.3125,OFF,ON,1.71839631,1.31164932
1775248196.3371096,0.0,38.29,0.01087,1.3124,OFF,ON,1.71403384,1.46570683
1775248196.9588344,0.0,38.25,0.01087,1.3124,OFF,ON,1.71649289,1.31197393
1775248197.887786,0.0,38.25,0.01083,1.3124,OFF,ON,1.72044218,1.31176782
1775248198.5108883,0.0,38.23,0.0108,1.3124,OFF,ON,1.72049129,1.31160498
1775248199.4417634,0.0,32.4,0.01078,1.3124,OFF,ON,1.71873641,1.31231165
1775248200.0641122,0.0,32.4,0.0108,1.3124,OFF,ON,1.7214663,1.31233084
1775248200.9899638,0.0,32.39,0.01076,1.3124,OFF,ON,1.72097754,1.31198823
1775248201.6158266,0.0,32.4,0.01072,1.3124,OFF,ON,1.72186279,1.31122649
1775248202.545193,0.0,32.41,0.0107,1.3124,OFF,ON,1.72096324,1.31181693
1775248203.1662292,0.0,32.43,0.01066,1.3124,OFF,ON,1.72091889,1.31115341
1775248204.093159,0.0,32.45,0.01064,1.3124,OFF,ON,1.72357321,1.31205297
1775248204.7163067,0.0,32.47,0.01062,1.3124,OFF,ON,1.72446561,1.31192958
1775248205.6451583,0.0,32.51,0.0106,1.3124,OFF,ON,1.72789741,1.31125522
1775248206.2635822,0.0,32.58,0.01058,1.3124,OFF,ON,1.72812617,1.31095338
1775248207.1935124,0.0,32.65,0.01055,1.3124,OFF,ON,1.73301327,1.31088507
1775248207.8148258,0.0,32.71,0.01053,1.3124,OFF,ON,1.7360785,1.31100965
1775248208.74229,0.0,31.7,0.01051,1.3125,OFF,ON,1.74235022,1.31115222
1775248209.368241,0.0,682.49,0.01047,0.0137,OFF,ON,1.69838071,1.3112911
1775248210.2964416,0.0,682.49,0.0,0.0145,OFF,ON,38.8189087,0.00269657047
1775248210.9158132,0.0,682.49,0.0,0.0161,OFF,ON,38.874588,0.0132924775
1775248211.8461795,0.0,682.5,0.0,0.0172,OFF,ON,38.8813477,0.0153659023
1775248212.6039245,0.0,493.11,0.0,0.0,OFF,OFF,38.2400208,0.00906058308
1775248213.5313418,0.008,324.99,0.0,0.0,OFF,OFF,29.7110386,0.00277922
1775248214.153347,0.019,31.56,0.0,0.0,OFF,OFF,13.7805538,0.00271693338
1775248215.0825024,0.019,0.02,0.0,0.0,OFF,OFF,2.31585646,0.00263548177
1775248215.7039945,0.019,0.02,0.0,0.0,OFF,OFF,0.0404602103,0.0027480768
1775248216.6303878,0.019,0.01,0.0,0.0,OFF,OFF,0.0300248116,0.00271094427
1775248217.2523096,0.019,0.01,0.0,0.0,OFF,OFF,0.0239961892,0.00269657047
1775248218.8911605,11.377,682.49,1.31133,0.0293,ON,ON,0.0207776483,0.00273969187
1775248219.5121188,12.474,682.49,1.31258,0.0287,ON,ON,39.1775627,0.0278471764
1775248220.443451,12.083,682.49,1.3125,0.0292,ON,ON,39.3708649,0.0284077562
1775248221.0595162,12.723,682.49,1.31241,0.0294,ON,ON,39.3657036,0.028630551
1775248222.1292803,0.0,521.55,0.0,0.0,OFF,OFF,39.3798943,0.0292114932
