ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,ts,V,I
1775248162.1043153,0.019,0.02,0.0,0.0,OFF,OFF,1775248147.784434,3.4974606,1.30504096
1775248163.7542243,6.925,157.31,1.31173,1.3125,ON,ON,1775248148.3384995,39.4086189,0.00597979268
1775248164.3757007,6.838,164.09,1.31244,1.3125,ON,ON,1775248148.804279,39.4695435,0.00618941104
1775248165.3054469,4.905,166.51,1.31246,1.3125,ON,ON,1775248149.357875,39.4762383,0.00643735938
1775248165.922598,5.448,163.66,1.31248,1.3125,ON,ON,1775248149.823456,39.474369,0.00662781252
1775248166.8572042,4.786,165.22,1.31246,1.3125,ON,ON,1775248150.3752062,13.666954,1.31047904
1775248167.478771,3.744,166.49,1.31248,1.3125,ON,ON,1775248150.840392,39.4476357,0.00692487182
1775248168.4127352,2.332,167.46,1.31248,1.3125,ON,ON,1775248151.318107,27.9162426,1.30613089
1775248169.0354218,0.975,191.44,1.31277,1.3124,ON,ON,1775248151.7828844,3.15047646,1.31125402
1775248169.9628346,5.839,165.06,1.31256,1.3125,ON,ON,1775248152.3369758,2.35306549,1.31204569
1775248170.587764,5.112,164.73,1.31252,1.3125,ON,ON,1775248152.8019412,1.77751827,1.31087792
1775248171.5148275,4.916,165.56,1.31248,1.3125,ON,ON,1775248153.3552363,1.90739894,1.31240869
1775248172.1382866,3.592,166.76,1.31246,1.3125,ON,ON,1775248153.8187146,1.7652669,1.31186366
1775248173.0709405,2.202,161.02,1.31248,1.3126,ON,ON,1775248154.372788,3.84284925,0.00218510185
1775248173.6935377,7.924,163.78,1.3125,1.3125,ON,ON,1775248154.837743,38.8233757,0.00542999338
1775248174.6252902,3.613,173.52,1.31241,1.3123,ON,ON,1775248155.3903546,38.8331223,0.00561565533
1775248175.2495668,5.959,170.55,1.31254,1.3149,ON,ON,1775248155.8556938,38.8363419,0.00584683474
1775248176.1773283,4.417,167.12,1.31246,1.3125,ON,ON,1775248156.4080338,38.8401222,0.00602530967
1775248176.799748,3.233,168.14,1.31248,1.3125,ON,ON,1775248156.8733535,38.8375168,0.00629961025
