ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,ts,V,I
,,,,,,,1775248272.8668592,1.17470622,1.31202185
,,,,,,,1775248273.4194353,1.17490864,1.31263387
,,,,,,,1775248273.8836994,1.17568243,1.31270456
,,,,,,,1775248274.4372466,1.17662156,1.31271648
,,,,,,,1775248274.9016128,1.17827451,1.31239307
,,,,,,,1775248275.4560344,1.18019938,1.31205654
,,,,,,,1775248275.9200797,1.18380487,1.3120482
,,,,,,,1775248276.4717088,1.18741024,1.31191874
,,,,,,,1775248276.9362218,1.19321609,1.31256914
,,,,,,,1775248277.4906523,1.19771993,1.31219423
,,,,,,,1775248277.9552703,1.20472002,1.31217515
,,,,,,,1775248278.5082636,1.20987058,1.31257284
,,,,,,,1775248278.972916,1.21839666,1.31245422
,,,,,,,1775248279.5251806,1.22538352,1.31219542
,,,,,,,1775248279.9888792,1.23294055,1.31223381
,,,,,,,1775248280.542109,1.24180448,1.31195951
,,,,,,,1775248281.0066051,1.23944831,1.31196785
,,,,,,,1775248281.5592058,1.23884344,1.31231761
,,,,,,,1775248282.023624,1.25524163,1.31240273
,,,,,,,1775248282.577714,1.26108694,1.31243742
,,,,,,,1775248283.0414162,1.26472235,1.31207216
,,,,,,,1775248283.5936675,1.26722455,1.31244099
,,,,,,,1775248284.0585456,1.26979029,1.31241107
,,,,,,,1775248284.6117146,1.2709198,1.31209123
,,,,,,,1775248285.076455,1.27297044,1.31205893
,,,,,,,1775248285.6294987,1.27286983,1.31203735
,,,,,,,1775248286.095018,1.27420664,1.3126986
,,,,,,,1775248286.6473863,1.27454078,1.31234646
,,,,,,,1775248287.1118193,1.27474809,1.31231999
,,,,,,,1775248287.6641884,1.27463424,1.31198823
,,,,,,,1775248288.128925,1.27496004,1.31203377
,,,,,,,1775248288.6821873,1.27411675,1.31237519
,,,,,,,1775248289.1467805,1.27504992,1.31232607
,,,,,,,1775248289.7010326,1.28516912,1.31273091
,,,,,,,1775248290.1644044,1.27366757,1.31250334
,,,,,,,1775248290.7164214,1.2702539,1.31234884
,,,,,,,1775248291.1816616,1.27054965,1.3122865
,,,,,,,1775248291.7345667,1.26847982,1.31272614
,,,,,,,1775248292.1981618,1.26900208,1.31202543
,,,,,,,1775248292.7506485,1.26740897,1.31200624
,,,,,,,1775248293.2155955,1.26702452,1.31204569
,,,,,,,1775248293.7685204,1.26568174,1.31205177
,,,,,,,1775248294.2320118,1.266186,1.31240392
,,,,,,,1775248294.785504,1.26548648,1.31202424
,,,,,,,1775248295.2513127,1.26512361,1.31241584
,,,,,,,1775248295.8061366,1.26441443,1.31213796
,,,,,,,1775248296.269671,1.26541829,1.31237161
,,,,,,,1775248296.82243,0.0300978795,0.00323439133
,,,,,,,1775248297.2871,0.0194564555,0.00317450031
,,,,,,,1775248297.8406696,0.0190048777,0.00318168732
