Timestamp,Sweep_V,Picoammeter_I
1.79E+12,5,1.41E-10
1.79E+12,5.1,3.70E-10
1.79E+12,5.2,2.50E-10
1.79E+12,5.3,2.84E-10
1.79E+12,5.4,2.63E-10
1.79E+12,5.5,2.37E-10
1.79E+12,5.6,2.44E-10
1.79E+12,5.7,2.41E-10
1.79E+12,5.8,3.07E-10
1.79E+12,5.9,2.59E-10
1.79E+12,6,2.93E-10
1.79E+12,6.1,2.52E-10
1.79E+12,6.2,2.57E-10
1.79E+12,6.3,2.47E-10
1.79E+12,6.4,2.93E-10
1.79E+12,6.5,2.88E-10
1.79E+12,6.6,2.40E-10
1.79E+12,6.7,2.68E-10
1.79E+12,6.8,2.67E-10
1.79E+12,6.9,2.70E-10
1.79E+12,7,2.61E-10
1.79E+12,7.1,3.53E-10
1.79E+12,7.2,2.78E-10
1.79E+12,7.3,2.65E-10
1.79E+12,7.4,2.95E-10
1.79E+12,7.5,2.61E-10
1.79E+12,7.6,2.51E-10
1.79E+12,7.7,2.45E-10
1.79E+12,7.8,2.60E-10
1.79E+12,7.9,2.55E-10
1.79E+12,8,2.84E-10
1.79E+12,8.1,2.82E-10
1.79E+12,8.2,2.13E-10
1.79E+12,8.3,3.09E-10
1.79E+12,8.4,2.72E-10
1.79E+12,8.5,2.45E-10
1.79E+12,8.6,2.20E-10
1.79E+12,8.7,2.53E-10
1.79E+12,8.8,3.68E-10
1.79E+12,8.9,3.11E-10
1.79E+12,9,2.51E-10
1.79E+12,9.1,2.66E-10
1.79E+12,9.2,2.86E-10
1.79E+12,9.3,2.82E-10
1.79E+12,9.4,2.76E-10
1.79E+12,9.5,2.76E-10
1.79E+12,9.6,2.47E-10
1.79E+12,9.7,2.28E-10
1.79E+12,9.8,3.00E-10
1.79E+12,9.9,2.84E-10
1.79E+12,10,3.23E-10
1.79E+12,10.1,2.77E-10
1.79E+12,10.2,2.87E-10
1.79E+12,10.3,3.72E-11
1.79E+12,10.4,3.73E-10
1.79E+12,10.5,2.60E-10
1.79E+12,10.6,4.20E-10
1.79E+12,10.7,4.70E-10
1.79E+12,10.8,3.25E-10
1.79E+12,10.9,2.87E-10
1.79E+12,11,2.99E-10
1.79E+12,11.1,2.68E-10
1.79E+12,11.2,2.88E-10
1.79E+12,11.3,3.45E-10
1.79E+12,11.4,3.29E-10
1.79E+12,11.5,2.39E-10
1.79E+12,11.6,2.60E-10
1.79E+12,11.7,2.53E-10
1.79E+12,11.8,2.45E-10
1.79E+12,11.9,2.57E-10
1.79E+12,12,2.89E-10
1.79E+12,12.1,2.38E-10
1.79E+12,12.2,2.62E-10
1.79E+12,12.3,2.74E-10
1.79E+12,12.4,2.79E-10
1.79E+12,12.5,2.76E-10
1.79E+12,12.6,6.14E-11
1.79E+12,12.7,3.34E-10
1.79E+12,12.8,2.76E-10
1.79E+12,12.9,2.39E-10
1.79E+12,13,2.06E-10
1.79E+12,13.1,1.65E-10
1.79E+12,13.2,2.18E-10
1.79E+12,13.3,1.73E-10
1.79E+12,13.4,1.29E-10
1.79E+12,13.5,5.53E-11
1.79E+12,13.6,1.07E-10
1.79E+12,13.7,-1.05E-10
1.79E+12,13.8,1.45E-10
1.79E+12,13.9,9.06E-11
1.79E+12,14,1.23E-11
1.79E+12,14.1,-1.43E-11
1.79E+12,14.2,2.42E-11
1.79E+12,14.3,6.18E-11
1.79E+12,14.4,-2.51E-11
1.79E+12,14.5,-1.86E-11
1.79E+12,14.6,-9.36E-12
1.79E+12,14.7,5.28E-12
1.79E+12,14.8,4.60E-11
1.79E+12,14.9,-1.13E-11
1.79E+12,15,-4.25E-11
1.79E+12,15.1,-1.86E-11
1.79E+12,15.2,-3.35E-11
1.79E+12,15.3,-4.87E-11
1.79E+12,15.4,-3.27E-11
1.79E+12,15.5,-2.63E-11
1.79E+12,15.6,-2.78E-11
1.79E+12,15.7,-3.41E-11
1.79E+12,15.8,-2.45E-11
1.79E+12,15.9,-2.99E-11
1.79E+12,16,-3.02E-11
1.79E+12,16.1,-2.92E-11
1.79E+12,16.2,-2.70E-11
1.79E+12,16.3,-2.12E-11
1.79E+12,16.4,-1.69E-11
1.79E+12,16.5,-2.41E-11
1.79E+12,16.6,-1.97E-11
1.79E+12,16.7,-2.31E-11
1.79E+12,16.8,-1.90E-11
1.79E+12,16.9,-4.02E-11
1.79E+12,17,-1.90E-11
1.79E+12,17.1,-3.13E-11
1.79E+12,17.2,3.15E-12
1.79E+12,17.3,-1.25E-11
1.79E+12,17.4,-1.34E-11
1.79E+12,17.5,-5.71E-11
1.79E+12,17.6,-1.29E-11
1.79E+12,17.7,-4.08E-11
1.79E+12,17.8,-1.32E-11
1.79E+12,17.9,-1.47E-11
1.79E+12,18,-1.47E-11
1.79E+12,18.1,-3.51E-11
1.79E+12,18.2,-3.66E-11
1.79E+12,18.3,-7.58E-12
1.79E+12,18.4,-7.00E-12
1.79E+12,18.5,-5.26E-12
1.79E+12,18.6,-1.53E-11
1.79E+12,18.7,-1.47E-11
1.79E+12,18.8,-2.72E-12
1.79E+12,18.9,-3.27E-12
