Timestamp,Sweep_V,Picoammeter_I
1.79E+12,19,-6.40E-12
1.79E+12,19.1,-2.76E-12
1.79E+12,19.2,-6.32E-12
1.79E+12,19.3,-6.90E-12
1.79E+12,19.4,3.91E-12
1.79E+12,19.5,-5.56E-12
1.79E+12,19.6,2.60E-11
1.79E+12,19.7,-7.59E-12
1.79E+12,19.8,1.09E-13
1.79E+12,19.9,-1.88E-12
1.79E+12,20,-5.42E-12
1.79E+12,20.1,-6.86E-12
1.79E+12,20.2,7.92E-11
1.79E+12,20.3,-1.54E-11
1.79E+12,20.4,3.40E-11
1.79E+12,20.5,9.92E-12
1.79E+12,20.6,3.16E-12
1.79E+12,20.7,9.05E-12
1.79E+12,20.8,-2.11E-11
1.79E+12,20.9,-1.25E-12
1.79E+12,21,-1.24E-11
1.79E+12,21.1,-1.86E-11
1.79E+12,21.2,-5.77E-13
1.79E+12,21.3,-6.90E-12
1.79E+12,21.4,5.64E-11
1.79E+12,21.5,1.20E-11
1.79E+12,21.6,-1.48E-11
1.79E+12,21.7,2.46E-11
1.79E+12,21.8,-2.09E-12
1.79E+12,21.9,-1.51E-10
1.79E+12,22,5.41E-10
1.79E+12,22.1,-1.55E-12
1.79E+12,22.2,1.87E-11
1.79E+12,22.3,6.11E-12
1.79E+12,22.4,3.28E-11
1.79E+12,22.5,-1.60E-11
1.79E+12,22.6,2.94E-11
1.79E+12,22.7,-3.96E-11
1.79E+12,22.8,3.14E-11
1.79E+12,22.9,-1.22E-11
1.79E+12,23,-7.95E-12
1.79E+12,23.1,2.42E-11
1.79E+12,23.2,2.68E-11
1.79E+12,23.3,-1.05E-11
1.79E+12,23.4,3.87E-11
1.79E+12,23.5,9.85E-12
1.79E+12,23.6,-1.23E-12
1.79E+12,23.7,2.39E-11
1.79E+12,23.8,-5.71E-13
1.79E+12,23.9,1.21E-11
1.79E+12,24,1.95E-11
1.79E+12,24.1,9.68E-12
1.79E+12,24.2,1.05E-11
1.79E+12,24.3,6.56E-12
1.79E+12,24.4,5.58E-12
1.79E+12,24.5,2.01E-11
1.79E+12,24.6,1.58E-11
1.79E+12,24.7,-1.47E-12
1.79E+12,24.8,1.63E-12
1.79E+12,24.9,-6.86E-12
1.79E+12,25,2.93E-11
